GHG Scopes and categories L1;GHG Scopes and categories L2;Activity L1;Activity L2;Region;Activity unit;Year;Readable unique string;Emission factor [kg CO2e/unit];Emission factor (location-based) [kg CO2e/unit];Emission factor (market-based) [kg CO2e/unit];Source;Description;Link
Scope 1;IC vehicles;Refrigerated HGVs (>17 tonnes);Average laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>17-tonnes)_Average-laden_GB_km_2022;1.18277;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>17 tonnes);Average laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>17-tonnes)_Average-laden_GB_miles_2022;1.90349;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>3.5 - 33t);0% Laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>3.5---33t)_0%-Laden_GB_km_2022;0.74595;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>3.5 - 33t);0% Laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>3.5---33t)_0%-Laden_GB_miles_2022;1.20047;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>3.5 - 33t);100% Laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>3.5---33t)_100%-Laden_GB_km_2022;1.11207;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>3.5 - 33t);100% Laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>3.5---33t)_100%-Laden_GB_miles_2022;1.78969;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>3.5 - 33t);50% Laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>3.5---33t)_50%-Laden_GB_km_2022;0.92901;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>3.5 - 33t);50% Laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>3.5---33t)_50%-Laden_GB_miles_2022;1.49508;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>3.5 - 33t);Average laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>3.5---33t)_Average-laden_GB_km_2022;0.90338;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>3.5 - 33t);Average laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>3.5---33t)_Average-laden_GB_miles_2022;1.45384;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>3.5 - 7.5 tonnes);0% Laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>3.5---7.5-tonnes)_0%-Laden_GB_km_2022;0.55165;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>3.5 - 7.5 tonnes);0% Laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>3.5---7.5-tonnes)_0%-Laden_GB_miles_2022;0.88779;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>3.5 - 7.5 tonnes);100% Laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>3.5---7.5-tonnes)_100%-Laden_GB_km_2022;0.64653;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>3.5 - 7.5 tonnes);100% Laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>3.5---7.5-tonnes)_100%-Laden_GB_miles_2022;1.04049;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>3.5 - 7.5 tonnes);50% Laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>3.5---7.5-tonnes)_50%-Laden_GB_km_2022;0.59909;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>3.5 - 7.5 tonnes);50% Laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>3.5---7.5-tonnes)_50%-Laden_GB_miles_2022;0.96414;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>3.5 - 7.5 tonnes);Average laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>3.5---7.5-tonnes)_Average-laden_GB_km_2022;0.59245;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>3.5 - 7.5 tonnes);Average laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>3.5---7.5-tonnes)_Average-laden_GB_miles_2022;0.95345;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>33t);0% Laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>33t)_0%-Laden_GB_km_2022;0.75882;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>33t);0% Laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>33t)_0%-Laden_GB_miles_2022;1.22119;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>33t);100% Laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>33t)_100%-Laden_GB_km_2022;1.25384;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>33t);100% Laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>33t)_100%-Laden_GB_miles_2022;2.01784;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>33t);50% Laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>33t)_50%-Laden_GB_km_2022;1.00633;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>33t);50% Laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>33t)_50%-Laden_GB_miles_2022;1.61952;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>33t);Average laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>33t)_Average-laden_GB_km_2022;1.07563;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>33t);Average laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>33t)_Average-laden_GB_miles_2022;1.73105;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>7.5 tonnes-17 tonnes);0% Laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>7.5-tonnes-17-tonnes)_0%-Laden_GB_km_2022;0.66383;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>7.5 tonnes-17 tonnes);0% Laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>7.5-tonnes-17-tonnes)_0%-Laden_GB_miles_2022;1.06833;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>7.5 tonnes-17 tonnes);100% Laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>7.5-tonnes-17-tonnes)_100%-Laden_GB_km_2022;0.85138;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>7.5 tonnes-17 tonnes);100% Laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>7.5-tonnes-17-tonnes)_100%-Laden_GB_miles_2022;1.37016;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>7.5 tonnes-17 tonnes);50% Laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>7.5-tonnes-17-tonnes)_50%-Laden_GB_km_2022;0.7576;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>7.5 tonnes-17 tonnes);50% Laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>7.5-tonnes-17-tonnes)_50%-Laden_GB_miles_2022;1.21925;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>7.5 tonnes-17 tonnes);Average laden;GB;km;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>7.5-tonnes-17-tonnes)_Average-laden_GB_km_2022;0.72384;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Refrigerated HGVs (>7.5 tonnes-17 tonnes);Average laden;GB;miles;2022;Scope1_IC-vehicles_Refrigerated-HGVs-(>7.5-tonnes-17-tonnes)_Average-laden_GB_miles_2022;1.16492;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Small car;Diesel;GB;km;2022;Scope1_IC-vehicles_Small-car_Diesel_GB_km_2022;0.13989414;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Small car;Diesel;GB;miles;2022;Scope1_IC-vehicles_Small-car_Diesel_GB_miles_2022;0.22514;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Small car;Hybrid;GB;km;2022;Scope1_IC-vehicles_Small-car_Hybrid_GB_km_2022;0.10332;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Small car;Hybrid;GB;miles;2022;Scope1_IC-vehicles_Small-car_Hybrid_GB_miles_2022;0.16628;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Small car;Petrol;GB;km;2022;Scope1_IC-vehicles_Small-car_Petrol_GB_km_2022;0.14652;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Small car;Petrol;GB;miles;2022;Scope1_IC-vehicles_Small-car_Petrol_GB_miles_2022;0.2358;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Small car;Plug-in hybrid;GB;km;2022;Scope1_IC-vehicles_Small-car_Plug-in-hybrid_GB_km_2022;0.02216;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Small car;Plug-in hybrid;GB;miles;2022;Scope1_IC-vehicles_Small-car_Plug-in-hybrid_GB_miles_2022;0.03567;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Small car;Unknown;GB;km;2022;Scope1_IC-vehicles_Small-car_Unknown_GB_km_2022;0.1444;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Small car;Unknown;GB;miles;2022;Scope1_IC-vehicles_Small-car_Unknown_GB_miles_2022;0.23239;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Small motorbike;;GB;km;2022;Scope1_IC-vehicles_Small-motorbike_GB_km_2022;0.08306;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Small motorbike;;GB;miles;2022;Scope1_IC-vehicles_Small-motorbike_GB_miles_2022;0.13369;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Vans (1.305 to 1.74 tonnes);Diesel;GB;km;2022;Scope1_IC-vehicles_Vans-(1.305-to-1.74-tonnes)_Diesel_GB_km_2022;0.17513;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Vans (1.305 to 1.74 tonnes);Diesel;GB;miles;2022;Scope1_IC-vehicles_Vans-(1.305-to-1.74-tonnes)_Diesel_GB_miles_2022;0.28186;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;IC vehicles;Vans (1.305 to 1.74 tonnes);Petrol;GB;km;2022;Scope1_IC-vehicles_Vans-(1.305-to-1.74-tonnes)_Petrol_GB_km_2022;0.20461;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
